;grid=25x25:extent=(-36.0000,36,-36,36.0000):X_lbl=plate_x:Y_lbl=plate_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    #,   plate_x,   plate_y,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,Imax,Iave,ratio
109,-8.999,-24,60,12957488,369107,0,71873,59949237,0,0,0,65.246867,26520,26100,73,133,679,216,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.5147185,49.46665707,2.112831647
110,-6.001,-24,60,13061313,372253,0,73104,59949254,0,0,0,65.047143,27120,26700,74,130,668,274,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.4095369,50.31046664,2.333700018
111,-2.99801,-24,60,13013947,365164,0,72442,28221086,0,0,0,65.079988,26520,26040,71,122,665,260,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.8254433,49.48246393,2.280109645
112,0,-24,60,12962944,369782,0,71834,28207913,0,0,0,65.099954,26760,26340,71,123,647,227,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.543467,49.76253299,2.221419618
113,2.99801,-24,60,12929948,367161,0,71445,28160419,0,0,0,65.036493,25740,25320,71,105,683,237,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.7797023,49.14899832,2.131878694
114,6.001,-24,60,12984638,368029,0,72100,27972209,0,0,0,65.063074,24780,24420,56,112,596,231,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.27078671,47.597294,1.938572111
115,8.999,-24,60,12996681,361653,0,72239,28448142,0,0,0,65.23568,23400,23040,67,101,543,225,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.78739886,44.82824033,1.86907624
116,12.002,-24,60,12970250,375353,0,71974,59519601,0,0,0,65.114257,22680,22260,64,99,510,188,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.14505002,44.9759632,1.937591634
117,15,-24,60,12932917,374832,0,71482,28375569,0,0,0,65.182379,22020,21660,54,84,473,183,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.85839945,43.41325663,1.954665603
118,17.998,-24,60,12918031,372333,0,71437,59949067,0,0,0,65.042716,44760,44100,145,268,1404,471,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.4085217,95.22671294,4.383313346
119,21.001,-24,60,13031033,376818,0,72753,59948722,0,0,0,65.068422,85260,84180,11966,22464,446,299,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185.2239264,64.63267958,2.865793707
120,23.999,-24,60,13020714,376416,0,72547,28556586,0,0,0,65.022662,51540,50820,2663,4780,1493,350,567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.05762305,42.75139294,1.451593007
128,-27.002,-20.9998,60,12990383,374371,0,72105,28355358,0,0,0,65.043579,43080,42480,91,239,1193,419,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.5550684,76.14435691,4.551290239
129,-23.999,-20.9998,60,12970620,374847,0,71885,28145979,0,0,0,65.068228,37620,37080,110,172,1029,384,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.8255652,64.45288853,3.798519675
130,-21.001,-20.9998,60,13024997,375934,0,72592,28301257,0,0,0,65.100553,34860,34380,78,189,911,328,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.1402995,60.83697826,3.48702887
131,-17.998,-20.9998,60,12978294,363585,0,72039,28151731,0,0,0,65.115814,29100,28620,68,171,682,269,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.5805352,52.65354675,2.423018829
132,-15,-20.9998,60,12934601,376209,0,71520,28105337,0,0,0,65.05226,27600,27180,75,173,607,218,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.7324016,52.82523416,2.152993799
133,-12.002,-20.9998,60,12908219,383315,0,71285,59949054,0,0,0,65.537178,29280,28800,100,157,691,274,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.7996602,56.00796875,2.246102884
134,-8.999,-20.9998,60,12932756,383754,0,71488,28120760,0,0,0,65.057955,30180,29760,116,172,738,235,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.7592184,57.55043785,2.619601587
135,-6.001,-20.9998,60,12977251,381111,0,72089,59948917,0,0,0,65.111133,30360,29880,95,151,765,264,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.1483432,57.80237461,2.649516465
136,-2.99801,-20.9998,60,12951759,382304,0,71726,28479292,0,0,0,65.03307,30240,29760,82,140,765,272,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.1610875,57.92039128,2.696133159
137,0,-20.9998,60,12923660,384376,0,71396,28187454,0,0,0,64.994871,30660,30180,90,149,743,262,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.4985556,58.13584719,2.726348085
138,2.99801,-20.9998,60,12885886,378353,0,70907,28896579,0,0,0,65.017116,29580,29100,93,139,746,266,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.1405268,56.88090394,2.604398252
139,6.001,-20.9998,60,13006374,381702,0,72368,59948934,0,0,0,65.20757,28860,28380,78,140,731,249,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.8042481,55.95458777,2.33768585
