;grid=31x31:extent=(-44.0000,44,-44,44.0000):X_lbl=plate_x:Y_lbl=plate_y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    #,   plate_x,   plate_y,  Seconds,       i0,       i1,      mon,    bstop,    Omron,      CH6,      CH7,     TEMP,   marccd,    ICRxT,    OCRxT,     ROI1,     ROI2,     ROI3,     ROI4,     ROI5,     ROI6,     ROI7,     ROI8,     ROI9,    ROI10,    RIO11,    ROI12,    ROI13,      SWX,     CCD1,    CTEMP,    Timer,      pd1,      pd2,      pd3,      pd4,      pd5,      pd6,      pd7,      pd8,      pd9,     pd10,     pd11,     pd12,     pd13,     pd14,     pd15,     pd16,Imax,Iave,Ratio
112,11.7331,-35.2001,60,13400242,811788,0,76855,28810059,0,0,0,65.052394,491100,477120,355167,3956,1057,813,51178,795,420765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.5320523,181.9501644,1.871567709
113,14.6664,-35.2001,60,13376249,829003,0,76609,28565782,0,0,0,65.048115,517920,502920,377846,3819,1002,793,54554,772,446938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.5867153,188.0849989,1.789545776
114,17.5996,-35.2001,60,13349486,838481,0,76278,28671479,0,0,0,65.157046,538560,522540,396714,3779,1039,816,57201,817,468763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.4056651,192.6915409,1.70949728
115,20.5329,-35.2001,60,13314594,834615,0,75839,28888145,0,0,0,65.04923,553500,536760,410565,3772,1048,771,59285,783,484649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.9244569,194.1724095,1.63733075
116,23.4662,-35.2001,60,13381938,833937,0,76633,28542100,0,0,0,65.070896,568200,550500,424724,3641,1088,703,61199,790,500839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.0577683,196.6648134,1.571494986
117,26.3994,-35.2001,60,13376261,829162,0,76529,28588736,0,0,0,65.06735,582660,563940,438055,3379,1032,732,63100,770,516178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.0269914,197.6214172,1.513130488
129,-29.3327,-32.2665,60,13345239,806913,0,76189,28773177,0,0,0,65.064902,305280,298980,182441,5616,1198,1166,26390,860,223349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.0857472,152.6486104,1.906900734
130,-26.3994,-32.2665,60,13315960,821891,0,75825,28545502,0,0,0,65.079861,321660,314820,195666,5741,1126,1137,28466,830,238815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.7685978,157.4237177,1.897862674
131,-23.4661,-32.2665,60,13337100,845813,0,76080,28778177,0,0,0,65.037208,344940,337020,213787,5716,1206,1188,30946,871,259948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.7618499,163.7468792,1.891711473
132,-20.5328,-32.2665,60,13387665,845229,0,76675,28764867,0,0,0,65.330734,356520,348300,225725,5465,1229,1202,32327,896,273331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317.5654791,166.1874728,1.910886986
133,-17.5996,-32.2665,60,13360481,843626,0,76380,28554805,0,0,0,65.255791,368760,360180,237518,5369,1165,1123,34146,861,286586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.3587887,167.8646394,1.96800702
134,-14.6663,-32.2665,60,13333612,840583,0,76072,28584014,0,0,0,65.316922,379320,370320,247910,5250,1183,1084,35930,885,298900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.1752798,169.4530896,2.01339073
135,-11.733,-32.2665,60,13308312,835987,0,75820,28794339,0,0,0,65.067797,392280,382680,259567,5008,1157,1104,37136,875,311672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.9476561,170.6966843,2.026680586
136,-8.79978,-32.2665,60,13424141,838685,0,77142,28672131,0,0,0,65.250152,410280,399900,276342,4901,1210,1063,39878,790,331290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.7043233,173.9466441,2.027658109
137,-5.86651,-32.2665,60,13378556,835298,0,76584,28588660,0,0,0,65.110535,419520,408840,285448,4730,1109,1023,40946,854,341151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350.4744078,174.597138,2.007331918
138,-2.93325,-32.2665,60,13327105,829869,0,76004,28745225,0,0,0,65.174938,431520,420480,297790,4679,1116,993,42679,811,355072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347.6178566,175.5550071,1.9801079
139,0,-32.2665,60,13303162,829406,0,75730,28686744,0,0,0,66.376959,439740,428160,313228,4399,1076,928,45019,770,372721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.568163,178.0725854,1.94060283
140,2.93329,-32.2665,60,13347431,831106,0,76282,28705333,0,0,0,65.254098,463680,451200,328685,4348,1077,926,47328,804,390832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341.2584065,180.7462009,1.888052998
141,5.86655,-32.2665,60,13390463,829372,0,76823,28843279,0,0,0,65.295555,477000,463800,341255,4231,1065,893,49260,810,405110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.4699354,182.6595404,1.825636563
142,8.79982,-32.2665,60,13359218,827016,0,76423,28562326,0,0,0,65.087207,495420,481440,356707,4190,1080,890,51889,860,423557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.1629949,184.8327055,1.770049266
143,11.7331,-32.2665,60,13325836,823199,0,76012,28969327,0,0,0,65.031016,508560,493860,370608,3961,1098,873,53213,765,438527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.5745556,186.4555363,1.708581906
144,14.6664,-32.2665,60,13306994,815250,0,75802,28515310,0,0,0,65.136802,519780,504720,382756,3892,1075,824,55030,793,452562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309.0995721,187.1197555,1.651881017
145,17.5996,-32.2665,60,13418925,801920,0,77127,28677808,0,0,0,65.282523,529020,513360,394066,3755,1003,789,56594,739,465144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.0006583,186.8704531,1.600042454
146,20.5329,-32.2665,60,13385687,826907,0,76698,28854573,0,0,0,65.017179,564720,547080,422073,3761,1078,769,60608,801,497643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.6477946,195.5765055,1.547464987
147,23.4662,-32.2665,60,13366072,824846,0,76470,28581346,0,0,0,65.135618,579420,560940,436783,3682,1099,720,62866,752,514857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.12136,197.6761186,1.503071601
148,26.3994,-32.2665,60,13325948,825533,0,75981,28589195,0,0,0,65.155361,597660,578100,453661,3614,1124,738,64838,773,533822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296.5169478,200.217893,1.480971273
149,29.3327,-32.2665,60,13383133,825397,0,76685,28574559,0,0,0,65.185156,613500,593160,468200,3564,1054,691,67865,729,551446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.4485877,202.6431148,1.467844531
159,-32.2659,-29.3336,60,13420721,820142,0,77128,28227091,0,0,0,65.119828,304320,298140,179314,6106,1273,1241,25643,833,220140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.4570151,155.1917498,1.916706367
160,-29.3327,-29.3336,60,13398805,822697,0,76837,28694281,0,0,0,65.09593,316860,310080,190650,5856,1270,1288,27682,870,233394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.1765964,157.4403179,1.900254017
161,-26.3994,-29.3336,60,13367845,831384,0,76497,28653730,0,0,0,65.11459,330540,323220,202834,5812,1233,1243,29176,865,247363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301.9544108,160.5446533,1.880812625
